iter	Precision_SumError	Precision_SumWeight	Recall_SumError	Recall_SumWeight	F1_TP	F1_TP+FP	F1_TP+FN
196	223	252	223	340	223	252	340
197	223	252	223	340	223	252	340
198	224	253	224	340	224	253	340
199	224	253	224	340	224	253	340
200	224	253	224	340	224	253	340
201	224	253	224	340	224	253	340
202	224	253	224	340	224	253	340
203	224	253	224	340	224	253	340
204	224	253	224	340	224	253	340
205	224	253	224	340	224	253	340
206	225	254	225	340	225	254	340
207	224	253	224	340	224	253	340
208	225	254	225	340	225	254	340
209	225	254	225	340	225	254	340
210	225	254	225	340	225	254	340
211	225	254	225	340	225	254	340
212	225	254	225	340	225	254	340
213	225	254	225	340	225	254	340
214	225	254	225	340	225	254	340
215	225	254	225	340	225	254	340
216	225	254	225	340	225	254	340
217	225	254	225	340	225	254	340
218	225	254	225	340	225	254	340
219	225	254	225	340	225	254	340
220	225	254	225	340	225	254	340
221	225	254	225	340	225	254	340
222	225	254	225	340	225	254	340
223	225	254	225	340	225	254	340
224	225	254	225	340	225	254	340
225	225	254	225	340	225	254	340
226	225	254	225	340	225	254	340
227	225	254	225	340	225	254	340
228	225	254	225	340	225	254	340
229	225	254	225	340	225	254	340
230	225	254	225	340	225	254	340
231	225	254	225	340	225	254	340
232	225	254	225	340	225	254	340
233	225	254	225	340	225	254	340
234	225	254	225	340	225	254	340
235	225	254	225	340	225	254	340
236	225	254	225	340	225	254	340
237	225	254	225	340	225	254	340
238	225	254	225	340	225	254	340
239	225	254	225	340	225	254	340
240	225	254	225	340	225	254	340
241	225	254	225	340	225	254	340
242	225	254	225	340	225	254	340
243	225	254	225	340	225	254	340
244	225	254	225	340	225	254	340
245	225	254	225	340	225	254	340
246	226	255	226	340	226	255	340
247	225	254	225	340	225	254	340
248	226	255	226	340	226	255	340
249	226	255	226	340	226	255	340
250	226	255	226	340	226	255	340
251	226	255	226	340	226	255	340
252	227	256	227	340	227	256	340
253	231	260	231	340	231	260	340
254	231	260	231	340	231	260	340
255	231	260	231	340	231	260	340
256	231	260	231	340	231	260	340
257	231	260	231	340	231	260	340
258	231	260	231	340	231	260	340
259	231	260	231	340	231	260	340
260	231	260	231	340	231	260	340
261	231	260	231	340	231	260	340
262	231	260	231	340	231	260	340
263	232	261	232	340	232	261	340
264	232	261	232	340	232	261	340
265	233	262	233	340	233	262	340
266	233	262	233	340	233	262	340
267	231	260	231	340	231	260	340
268	234	262	234	340	234	262	340
269	234	262	234	340	234	262	340
270	233	260	233	340	233	260	340
271	233	260	233	340	233	260	340
272	231	258	231	340	231	258	340
273	231	258	231	340	231	258	340
274	231	258	231	340	231	258	340
275	231	258	231	340	231	258	340
276	231	258	231	340	231	258	340
277	232	262	232	340	232	262	340
278	232	262	232	340	232	262	340
279	232	262	232	340	232	262	340
280	232	262	232	340	232	262	340
281	232	262	232	340	232	262	340
282	232	262	232	340	232	262	340
283	232	262	232	340	232	262	340
284	232	262	232	340	232	262	340
285	235	265	235	340	235	265	340
286	235	265	235	340	235	265	340
287	235	263	235	340	235	263	340
288	235	263	235	340	235	263	340
289	238	266	238	340	238	266	340
290	237	265	237	340	237	265	340
291	238	266	238	340	238	266	340
292	239	267	239	340	239	267	340
293	239	267	239	340	239	267	340
294	239	267	239	340	239	267	340
295	239	267	239	340	239	267	340
296	239	267	239	340	239	267	340
297	239	267	239	340	239	267	340
298	239	267	239	340	239	267	340
299	239	267	239	340	239	267	340
300	239	267	239	340	239	267	340
301	239	267	239	340	239	267	340
302	239	267	239	340	239	267	340
303	239	267	239	340	239	267	340
304	239	267	239	340	239	267	340
305	239	267	239	340	239	267	340
306	239	267	239	340	239	267	340
307	237	265	237	340	237	265	340
308	237	265	237	340	237	265	340
309	237	265	237	340	237	265	340
310	237	265	237	340	237	265	340
311	237	265	237	340	237	265	340
312	237	265	237	340	237	265	340
313	237	265	237	340	237	265	340
314	237	265	237	340	237	265	340
315	237	265	237	340	237	265	340
316	237	265	237	340	237	265	340
317	237	265	237	340	237	265	340
318	237	265	237	340	237	265	340
319	237	265	237	340	237	265	340
320	237	265	237	340	237	265	340
321	239	267	239	340	239	267	340
322	237	265	237	340	237	265	340
323	237	265	237	340	237	265	340
324	237	265	237	340	237	265	340
325	237	265	237	340	237	265	340
326	237	265	237	340	237	265	340
327	239	267	239	340	239	267	340
328	239	267	239	340	239	267	340
329	239	267	239	340	239	267	340
330	239	267	239	340	239	267	340
